Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches
Matte Smets,be BEL,DF,22-095,31,31,"2,790",31.0,0,1,1,0,0,0,3,0,0.00,0.03,0.03,0.00,0.03,Matches
Bryan Heynen,be BEL,MF,29-062,30,30,"2,680",29.8,4,1,5,4,0,0,5,0,0.13,0.03,0.17,0.13,0.17,Matches
Mujaid Sadick,es ESP,DF,26-026,30,29,"2,563",28.5,2,0,2,2,0,0,3,1,0.07,0.00,0.07,0.07,0.07,Matches
Zakaria El Ouahdi,ma MAR,"DF,MF",24-099,25,25,"2,191",24.3,7,2,9,7,0,0,3,0,0.29,0.08,0.37,0.29,0.37,Matches
Konstantinos Karetsas,gr GRE,"MF,FW",18-141,29,24,"2,012",22.4,0,10,10,0,0,0,3,0,0.00,0.45,0.45,0.00,0.45,Matches
Daan Heymans,be BEL,MF,26-298,23,20,"1,725",19.2,10,4,14,7,3,3,2,0,0.52,0.21,0.73,0.37,0.57,Matches
Joris Kayembe,cd COD,DF,31-244,20,19,"1,649",18.3,0,1,1,0,0,0,4,0,0.00,0.05,0.05,0.00,0.05,Matches
Tobias Lawal,at AUT,GK,25-306,18,18,"1,620",18.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Jarne Steuckers,be BEL,MF,24-064,25,15,"1,385",15.4,0,6,6,0,0,0,0,0,0.00,0.39,0.39,0.00,0.39,Matches
Yaimar Medina,ec ECU,"DF,MF",21-155,22,14,"1,194",13.3,0,2,2,0,0,0,2,0,0.00,0.15,0.15,0.00,0.15,Matches
Oh Hyeon-gyu,kr KOR,FW,24-362,20,13,"1,107",12.3,6,3,9,6,0,0,2,0,0.49,0.24,0.73,0.49,0.73,Matches
Junya Ito,jp JPN,"MF,FW",33-031,19,13,"1,051",11.7,4,2,6,4,0,0,3,0,0.34,0.17,0.51,0.34,0.51,Matches
Hendrik Van Crombrugge,be BEL,GK,32-344,12,12,"1,080",12.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Yira Sor,ng NGA,"MF,FW",25-259,25,10,"1,048",11.6,4,1,5,4,0,0,0,0,0.34,0.09,0.43,0.34,0.43,Matches
Patrik Hrošovský,sk SVK,MF,33-352,16,10,"1,005",11.2,1,1,2,1,0,0,0,0,0.09,0.09,0.18,0.09,0.18,Matches
Nikolas Sattlberger,at AUT,MF,22-081,20,10,848,9.4,0,1,1,0,0,0,3,0,0.00,0.11,0.11,0.00,0.11,Matches
Robin Mirisola,be BEL,FW,19-122,21,9,895,9.9,3,2,5,3,0,0,2,0,0.30,0.20,0.50,0.30,0.50,Matches
Ibrahima Sory Bangoura,gn GUI,MF,22-094,19,9,729,8.1,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Noah Adedeji,be BEL,MF,20-294,19,8,740,8.2,1,0,1,1,0,0,0,0,0.12,0.00,0.12,0.12,0.12,Matches
Josué Kongolo,be BEL,DF,19-361,9,5,536,6.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Ken Nkuba,be BEL,DF,24-078,12,5,518,5.8,1,0,1,1,0,0,2,0,0.17,0.00,0.17,0.17,0.17,Matches
Aaron Bibout,cm CMR,FW,21-218,11,5,471,5.2,3,0,3,3,0,0,0,0,0.57,0.00,0.57,0.57,0.57,Matches
Jusef Erabi,se SWE,FW,22-305,12,4,399,4.4,1,0,1,1,0,0,2,0,0.23,0.00,0.23,0.23,0.23,Matches
Adrián Palacios,ve VEN,DF,21-306,10,2,222,2.5,0,1,1,0,0,0,0,0,0.00,0.41,0.41,0.00,0.41,Matches
Lucca Brughmans,be BEL,GK,17-296,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Tolu Arokodare,ng NGA,FW,25-137,4,0,84,0.9,1,0,1,1,0,0,0,0,1.07,0.00,1.07,1.07,1.07,Matches
Brent Stevens,be BEL,GK,22-241,0,0,,,,,,,,,,,,,,,,Matches
Ayumu Yokoyama,jp JPN,MF,23-036,0,0,,,,,,,,,,,,,,,,Matches
